                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0738,                  5.671,                  5.235,                 1.3677,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.2935,                 3.8637,                 4.4097,                0.99498,             0.00012861,             0.00012861,             0.00012861
                      2,                 3.8931,                 4.4615,                 4.3855,                 1.1637,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8541,                 3.9007,                  4.306,                0.94085,             0.00027043,             0.00027043,             0.00027043
                      3,                 3.9213,                 5.2052,                 4.5104,                 1.0159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.152,                 4.6866,                 4.3001,                0.95265,             0.00041113,             0.00041113,             0.00041113
                      4,                 3.5647,                  5.439,                 3.9951,                0.96007,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.551,                 4.2656,                 4.3186,                0.96972,             0.00055069,             0.00055069,             0.00055069
                      5,                 3.5535,                 4.1151,                 3.7612,                0.94265,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.551,                 4.2656,                 4.3186,                0.96972,             0.00068912,             0.00068912,             0.00068912
                      6,                 3.9382,                 4.4591,                 3.6272,                0.95232,                0.00092,                 0.0009,                0.00046,                  5e-05,                0.01594,                0.04199,                0.00859,                0.00316,                 3.9735,                 2.7816,                 4.1567,                0.97474,             0.00082642,             0.00082642,             0.00082642
                      7,                 3.8619,                 3.6042,                 3.4353,                0.93821,                0.00092,                 0.0009,                0.00046,                  5e-05,                0.01594,                0.04199,                0.00859,                0.00316,                 3.9735,                 2.7816,                 4.1567,                0.97474,             0.00096258,             0.00096258,             0.00096258
                      8,                 3.7493,                 3.6491,                 3.3823,                0.92151,                 0.0202,                0.11079,                0.03758,                0.01148,                0.02585,                 0.1208,                0.08374,                0.03358,                 3.1173,                 3.1249,                 3.4396,                0.91501,              0.0010976,              0.0010976,              0.0010976
                      9,                 3.6069,                 4.2134,                 2.7889,                0.88365,                 0.0202,                0.11079,                0.03758,                0.01148,                0.02585,                 0.1208,                0.08374,                0.03358,                 3.1173,                 3.1249,                 3.4396,                0.91501,              0.0012315,              0.0012315,              0.0012315
                     10,                 3.3093,                 3.7089,                 2.7934,                0.90896,                 0.0202,                0.11079,                0.03758,                0.01148,                0.02585,                 0.1208,                0.08374,                0.03358,                 3.1173,                 3.1249,                 3.4396,                0.91501,              0.0013643,              0.0013643,              0.0013643
                     11,                 3.3886,                 3.7227,                 2.6964,                0.91281,                 0.0202,                0.11079,                0.03758,                0.01148,                0.02585,                 0.1208,                0.08374,                0.03358,                 3.1173,                 3.1249,                 3.4396,                0.91501,              0.0013724,              0.0013724,              0.0013724
                     12,                 3.3644,                 3.2924,                 2.5405,                0.91171,                0.22891,                0.24591,                0.23405,                0.07768,                0.32174,                0.20959,                0.18839,                0.07532,                 2.6664,                 2.8955,                 2.2546,                0.89204,              0.0013724,              0.0013724,              0.0013724
                     13,                 3.4097,                 3.6025,                 2.4141,                0.92451,                0.22891,                0.24591,                0.23405,                0.07768,                0.32174,                0.20959,                0.18839,                0.07532,                 2.6664,                 2.8955,                 2.2546,                0.89204,              0.0013668,              0.0013668,              0.0013668
                     14,                   3.32,                 3.6929,                 2.3583,                0.91693,                0.22891,                0.24591,                0.23405,                0.07768,                0.32174,                0.20959,                0.18839,                0.07532,                 2.6664,                 2.8955,                 2.2546,                0.89204,              0.0013611,              0.0013611,              0.0013611
                     15,                 3.3969,                 5.0855,                 2.3402,                0.92353,                 0.4102,                0.31271,                0.26983,                0.06618,                0.32483,                0.20515,                0.25551,                0.10885,                 2.8966,                 4.6299,                  1.896,                0.92008,              0.0013554,              0.0013554,              0.0013554
                     16,                 3.3177,                 5.2857,                 2.1011,                0.92909,                 0.4102,                0.31271,                0.26983,                0.06618,                0.32483,                0.20515,                0.25551,                0.10885,                 2.8966,                 4.6299,                  1.896,                0.92008,              0.0013498,              0.0013498,              0.0013498
                     17,                 3.3278,                 5.5494,                 2.0808,                0.94459,                 0.4102,                0.31271,                0.26983,                0.06618,                0.32483,                0.20515,                0.25551,                0.10885,                 2.8966,                 4.6299,                  1.896,                0.92008,              0.0013441,              0.0013441,              0.0013441
                     18,                 3.5701,                 4.7094,                 2.1441,                0.93705,                0.36145,                 0.3142,                0.23447,                0.05159,                0.48618,                0.40986,                0.41529,                0.16013,                 3.1673,                 2.5575,                  1.774,                0.93265,              0.0013385,              0.0013385,              0.0013385
                     19,                 3.4115,                 3.4805,                 1.9362,                0.92101,                0.36145,                 0.3142,                0.23447,                0.05159,                0.48618,                0.40986,                0.41529,                0.16013,                 3.1673,                 2.5575,                  1.774,                0.93265,              0.0013328,              0.0013328,              0.0013328
                     20,                 3.1683,                 3.4533,                  1.895,                 0.9524,                0.36145,                 0.3142,                0.23447,                0.05159,                0.48618,                0.40986,                0.41529,                0.16013,                 3.1673,                 2.5575,                  1.774,                0.93265,              0.0013271,              0.0013271,              0.0013271
                     21,                 3.3295,                 3.5811,                 1.9578,                0.92696,                0.52548,                0.34956,                0.34749,                0.08096,                0.48183,                0.36031,                 0.3799,                0.13098,                 3.0368,                 3.3028,                 1.5872,                0.90033,              0.0013215,              0.0013215,              0.0013215
                     22,                 3.1008,                 3.4636,                 1.7988,                0.88127,                0.52548,                0.34956,                0.34749,                0.08096,                0.48183,                0.36031,                 0.3799,                0.13098,                 3.0368,                 3.3028,                 1.5872,                0.90033,              0.0013158,              0.0013158,              0.0013158
                     23,                  3.054,                 3.1558,                  1.729,                0.90284,                0.52548,                0.34956,                0.34749,                0.08096,                0.48183,                0.36031,                 0.3799,                0.13098,                 3.0368,                 3.3028,                 1.5872,                0.90033,              0.0013102,              0.0013102,              0.0013102
                     24,                 3.2703,                 3.4263,                 1.9928,                0.87424,                0.61842,                0.41018,                0.49734,                0.16053,                0.34443,                0.31042,                 0.2602,                 0.0906,                 2.6217,                 3.0015,                 1.5055,                0.87404,              0.0013045,              0.0013045,              0.0013045
                     25,                 3.0255,                 3.4314,                 1.8221,                0.87943,                0.61842,                0.41018,                0.49734,                0.16053,                0.34443,                0.31042,                 0.2602,                 0.0906,                 2.6217,                 3.0015,                 1.5055,                0.87404,              0.0012988,              0.0012988,              0.0012988
                     26,                 3.0978,                 3.1707,                 1.8984,                 0.8729,                0.61842,                0.41018,                0.49734,                0.16053,                0.34443,                0.31042,                 0.2602,                 0.0906,                 2.6217,                 3.0015,                 1.5055,                0.87404,              0.0012932,              0.0012932,              0.0012932
                     27,                 3.2213,                 3.5061,                 1.9879,                 0.8849,                0.61842,                0.41018,                0.49734,                0.16053,                0.34443,                0.31042,                 0.2602,                 0.0906,                 2.6217,                 3.0015,                 1.5055,                0.87404,              0.0012875,              0.0012875,              0.0012875
                     28,                 3.2805,                 3.4909,                 2.0444,                0.86471,                0.60028,                0.46805,                 0.5344,                0.17043,                0.35329,                0.31152,                0.28329,                0.10069,                  2.529,                 2.6558,                 1.7085,                0.86906,              0.0012819,              0.0012819,              0.0012819
                     29,                 3.0076,                 3.2443,                 1.9586,                0.87696,                0.60028,                0.46805,                 0.5344,                0.17043,                0.35329,                0.31152,                0.28329,                0.10069,                  2.529,                 2.6558,                 1.7085,                0.86906,              0.0012762,              0.0012762,              0.0012762
                     30,                  2.976,                 2.8582,                 1.8741,                0.86754,                0.60028,                0.46805,                 0.5344,                0.17043,                0.35329,                0.31152,                0.28329,                0.10069,                  2.529,                 2.6558,                 1.7085,                0.86906,              0.0012706,              0.0012706,              0.0012706
                     31,                 3.0603,                 2.9945,                 1.8994,                0.89153,                0.53998,                0.44677,                0.47489,                0.13626,                0.46109,                0.40849,                 0.4074,                0.14072,                 2.8224,                 2.3331,                 1.7805,                0.88188,              0.0012649,              0.0012649,              0.0012649
                     32,                  2.946,                 2.6552,                 1.8146,                0.89458,                0.53998,                0.44677,                0.47489,                0.13626,                0.46109,                0.40849,                 0.4074,                0.14072,                 2.8224,                 2.3331,                 1.7805,                0.88188,              0.0012592,              0.0012592,              0.0012592
                     33,                 3.0917,                 3.3132,                 1.9262,                0.89004,                0.53998,                0.44677,                0.47489,                0.13626,                0.46109,                0.40849,                 0.4074,                0.14072,                 2.8224,                 2.3331,                 1.7805,                0.88188,              0.0012536,              0.0012536,              0.0012536
                     34,                 3.1505,                 3.0088,                 1.8775,                0.87612,                0.57607,                0.43283,                0.47096,                0.13834,                0.51589,                0.48121,                0.45213,                0.17763,                   2.77,                 2.0549,                  1.553,                0.87346,              0.0012479,              0.0012479,              0.0012479
                     35,                 3.2866,                 2.7835,                 2.2008,                0.86121,                0.57607,                0.43283,                0.47096,                0.13834,                0.51589,                0.48121,                0.45213,                0.17763,                   2.77,                 2.0549,                  1.553,                0.87346,              0.0012423,              0.0012423,              0.0012423
                     36,                 3.0879,                 2.9436,                 1.7814,                0.90024,                0.57607,                0.43283,                0.47096,                0.13834,                0.51589,                0.48121,                0.45213,                0.17763,                   2.77,                 2.0549,                  1.553,                0.87346,              0.0012366,              0.0012366,              0.0012366
                     37,                 2.9496,                 3.0294,                 1.6649,                 0.8758,                0.62831,                 0.5072,                 0.5561,                0.17291,                0.51174,                0.44336,                0.44516,                0.18606,                 2.5882,                 2.0266,                 1.3948,                0.85983,              0.0012309,              0.0012309,              0.0012309
                     38,                 3.0112,                 2.6445,                 1.7497,                0.85881,                0.62831,                 0.5072,                 0.5561,                0.17291,                0.51174,                0.44336,                0.44516,                0.18606,                 2.5882,                 2.0266,                 1.3948,                0.85983,              0.0012253,              0.0012253,              0.0012253
                     39,                 2.8515,                 2.3993,                 1.5804,                0.86176,                0.62831,                 0.5072,                 0.5561,                0.17291,                0.51174,                0.44336,                0.44516,                0.18606,                 2.5882,                 2.0266,                 1.3948,                0.85983,              0.0012196,              0.0012196,              0.0012196
