                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.001,                 5.4643,                 5.0208,                 1.4032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8178,                 3.5723,                 4.1676,                 1.0064,             0.00017148,             0.00017148,             0.00017148
                      2,                 3.9962,                 4.5881,                 4.3298,                 1.1219,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   3.61,                 5.2452,                 4.1261,                 1.0215,             0.00035489,             0.00035489,             0.00035489
                      3,                 3.4706,                 4.4595,                 3.9674,                0.96508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1127,                 4.0137,                 4.1053,                 1.0638,             0.00053585,             0.00053585,             0.00053585
                      4,                 3.5617,                 3.5677,                 3.6733,                0.94345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1127,                 4.0137,                 4.1053,                 1.0638,             0.00071436,             0.00071436,             0.00071436
                      5,                 3.7801,                 4.7062,                 3.4386,                0.94683,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  4.174,                 2.8878,                 3.9356,                 1.0725,             0.00089042,             0.00089042,             0.00089042
                      6,                 3.6521,                 3.7462,                 3.3341,                0.95035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  4.174,                 2.8878,                 3.9356,                 1.0725,               0.001064,               0.001064,               0.001064
                      7,                  3.608,                 3.5633,                 2.8839,                0.94529,                0.00054,                0.00212,                0.00027,                  3e-05,                 0.0081,                 0.0143,                0.00474,                0.00119,                 4.0565,                 3.0148,                 3.5693,                 1.0674,              0.0012352,              0.0012352,              0.0012352
                      8,                 3.5218,                 3.8095,                 2.8304,                0.93217,                0.00054,                0.00212,                0.00027,                  3e-05,                 0.0081,                 0.0143,                0.00474,                0.00119,                 4.0565,                 3.0148,                 3.5693,                 1.0674,               0.001363,               0.001363,               0.001363
                      9,                 3.2422,                 3.6359,                 2.4632,                0.93904,                0.15386,                0.33795,                0.16786,                 0.0488,                0.07765,                 0.1705,                0.05484,                0.01613,                 3.3584,                 5.8697,                 2.5762,                 1.0027,               0.001363,               0.001363,               0.001363
                     10,                 3.2264,                 3.6148,                 2.1911,                 0.9131,                0.15386,                0.33795,                0.16786,                 0.0488,                0.07765,                 0.1705,                0.05484,                0.01613,                 3.3584,                 5.8697,                 2.5762,                 1.0027,              0.0013535,              0.0013535,              0.0013535
                     11,                 3.2175,                 3.8285,                 2.3369,                0.92901,                0.45541,                0.40073,                0.39433,                0.13879,                0.27284,                0.24027,                0.21103,                0.07238,                 2.6763,                 3.9746,                 1.5627,                0.98448,              0.0013441,              0.0013441,              0.0013441
